location_id,microclimate,first_flowering,last_flowering,duration_days,peak_flowering,summer_temp,summer_GDD0,summer_GDD5,GDD0_first,GDD5_first,GDD0_last,GDD5_last,GDD0_peak,GDD5_peak
COOL1,Cool,2024-06-25,2024-08-12,48,2024-06-29,8.094670138888889,586.9198958333334,297.86020833333333,90.1228125,22.644062499999997,586.919,297.8602,142.2253125,54.83322916666666
COOL2,Cool,2024-06-26,2024-08-03,38,2024-07-22,8.094670138888889,586.9198958333334,297.86020833333333,101.10302083333333,28.710937499999993,473.4115625,224.30364583333332,348.49854166666665,157.42604166666666
COOL3,Cool,2024-06-23,2024-07-23,30,2024-07-18,7.867191901408451,564.0902083333333,304.00333333333333,58.29687499999999,21.3878125,344.60218749999996,171.78104166666665,281.8826041666666,134.03479166666665
COOL4,Cool,2024-06-23,2024-07-07,14,2024-06-25,7.651724537037037,556.276875,276.69916666666666,69.16624999999999,18.165625,175.92979166666663,64.32906249999999,81.89520833333333,22.242604166666663
MOD1,Moderate,2024-06-24,2024-07-20,26,2024-07-12,8.75613262910798,645.8520833333333,347.29125,109.54427083333333,29.299687499999997,379.2084375,182.11166666666665,277.6716666666667,120.50531249999999
MOD2,Moderate,2024-06-23,2024-07-23,30,2024-06-24,8.280701291079811,592.7206249999999,325.7596875,68.59677083333332,25.01645833333333,372.0195833333333,191.94822916666666,74.08927083333333,26.14666666666667
MOD3,Moderate,2024-06-23,2024-08-02,40,2024-06-29,8.220293427230047,601.9455208333333,309.7,91.13166666666666,19.760104166666665,475.9929166666667,223.02062499999997,163.7171875,63.5615625
WARM1,Warm,2024-06-23,2024-07-03,10,2024-06-26,9.679599247685186,764.8132291666666,418.6497916666666,183.10833333333332,65.88239583333333,298.28385416666663,134.93729166666665,215.20510416666667,84.29166666666666
WARM2,Warm,2024-06-23,2024-08-03,41,2024-06-27,9.662627314814817,763.0659375,418.8210416666666,189.98541666666665,74.70374999999999,635.6857291666666,331.44083333333333,239.23427083333334,104.92302083333334
WARM3,Warm,2024-06-23,2024-07-23,30,2024-07-02,8.947630208333333,692.3306249999999,364.88697916666666,150.85072916666664,51.11385416666667,460.2519791666666,224.6492708333333,255.21281249999998,114.47833333333332
