"","location_id","plot","class","mean_percent_cover"
"1","COOL1","Core","Astragalus",7.5
"2","COOL1","Core","Castilleja",5
"3","COOL1","Core","Graminoid/horsetails",3
"4","COOL1","Core","otherforb",1
"5","COOL1","Core","Oxytropis",21
"6","COOL1","Core","Pedicularis spp",2.5
"7","COOL1","Core","Pedicularis Vertisilata",13
"8","COOL1","Core","Salix Arctica",29.5
"9","COOL1","Core","xxxlitter",12.5
"10","COOL1","Core","xxxmoss",4
"11","COOL1","E","Graminoid/horsetails",2.5
"12","COOL1","E","otherforb",3.75
"13","COOL1","E","Pedicularis Capitata",3
"14","COOL1","E","Pedicularis Vertisilata",1.5
"15","COOL1","E","Salix Arctica",11.5
"16","COOL1","E","Saxifrage",1
"17","COOL1","E","xxxbareground",70.5
"18","COOL1","E","xxxlitter",3
"19","COOL1","E","xxxmoss",15.5
"20","COOL1","N","Artemisia",1
"21","COOL1","N","Astragalus",6
"22","COOL1","N","Graminoid/horsetails",5.5
"23","COOL1","N","otherforb",1
"24","COOL1","N","Pedicularis Vertisilata",3
"25","COOL1","N","Polygonum viviparum",2
"26","COOL1","N","Saxifrage",6.5
"27","COOL1","N","Senecio",2
"28","COOL1","N","Stellaria",1.5
"29","COOL1","N","xxxlitter",59
"30","COOL1","N","xxxmoss",5
"31","COOL1","N","Yarrow",3
"32","COOL1","S","Artemisia",3
"33","COOL1","S","Graminoid/horsetails",15.5
"34","COOL1","S","otherforb",5.5
"35","COOL1","S","Pedicularis Capitata",4
"36","COOL1","S","Pedicularis Vertisilata",5
"37","COOL1","S","Salix Arctica",22
"38","COOL1","S","Saxifrage",4
"39","COOL1","S","xxxbareground",43
"40","COOL1","S","xxxlitter",16
"41","COOL1","S","xxxmoss",8.5
"42","COOL1","W","Astragalus",26
"43","COOL1","W","Graminoid/horsetails",1.5
"44","COOL1","W","Lichen",3
"45","COOL1","W","Oxytropis",6
"46","COOL1","W","Salix Arctica",3
"47","COOL1","W","xxxlitter",45
"48","COOL1","W","xxxmoss",36.5
"49","COOL2","Core","Graminoid/horsetails",4.6
"50","COOL2","Core","Oxytropis",17.2
"51","COOL2","Core","Pedicularis Capitata",2.6
"52","COOL2","Core","Pedicularis spp",3
"53","COOL2","Core","Salix Arctica",40.4
"54","COOL2","Core","Stellaria",2.05
"55","COOL2","Core","xxxlitter",12.25
"56","COOL2","Core","xxxmoss",16.1
"57","COOL2","E","Graminoid/horsetails",6.075
"58","COOL2","E","Lichen",1
"59","COOL2","E","Oxytropis",7.05
"60","COOL2","E","Pedicularis Capitata",0.9
"61","COOL2","E","Salix Arctica",52.65
"62","COOL2","E","Stellaria",0.8
"63","COOL2","E","xxxlitter",20.8
"64","COOL2","E","xxxmoss",4.85
"65","COOL2","E","Yarrow",0.75
"66","COOL2","N","Artemisia",1.2
"67","COOL2","N","Graminoid/horsetails",8.5
"68","COOL2","N","otherforb",1.5
"69","COOL2","N","Pedicularis spp",3
"70","COOL2","N","Pedicularis Vertisilata",6.15
"71","COOL2","N","Salix Arctica",19.25
"72","COOL2","N","Stellaria",1.1
"73","COOL2","N","xxxlitter",40.45
"74","COOL2","N","xxxmoss",4.3
"75","COOL2","N","Yarrow",10.8
"76","COOL2","N",NA,1.2
"77","COOL2","S","Castilleja",3.45
"78","COOL2","S","Graminoid/horsetails",2.26666666666667
"79","COOL2","S","otherforb",2
"80","COOL2","S","Oxytropis",5.1
"81","COOL2","S","Pedicularis Capitata",3.3
