datetime,year,month,day,time_hour,wind_spd_km_h,stn_press_k_pa,wind_dir_deg,avg_air_rh_1m,lat,lon,altitude,azimuth
2024-06-21T07:00:00Z,2024,06,21,07:00:00,4,102.01,280,NA,NA,NA,NA,NA
2024-06-21T08:00:00Z,2024,06,21,08:00:00,6,101.98,210,NA,NA,NA,NA,NA
2024-06-21T09:00:00Z,2024,06,21,09:00:00,3,101.98,210,NA,NA,NA,NA,NA
2024-06-21T10:00:00Z,2024,06,21,10:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-21T11:00:00Z,2024,06,21,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-21T12:00:00Z,2024,06,21,12:00:00,6,101.91,210,NA,NA,NA,NA,NA
2024-06-21T13:00:00Z,2024,06,21,13:00:00,5,101.87,240,NA,NA,NA,NA,NA
2024-06-21T14:00:00Z,2024,06,21,14:00:00,4,101.85,280,NA,NA,NA,NA,NA
2024-06-21T15:00:00Z,2024,06,21,15:00:00,3,101.83,190,NA,NA,NA,NA,NA
2024-06-21T16:00:00Z,2024,06,21,16:00:00,20,101.79,10,NA,NA,NA,NA,NA
2024-06-21T17:00:00Z,2024,06,21,17:00:00,21,101.78,20,NA,NA,NA,NA,NA
2024-06-21T18:00:00Z,2024,06,21,18:00:00,25,101.79,30,NA,NA,NA,NA,NA
2024-06-21T19:00:00Z,2024,06,21,19:00:00,23,101.83,30,NA,NA,NA,NA,NA
2024-06-21T20:00:00Z,2024,06,21,20:00:00,19,101.87,30,NA,NA,NA,NA,NA
2024-06-21T21:00:00Z,2024,06,21,21:00:00,11,101.9,20,NA,NA,NA,NA,NA
2024-06-21T22:00:00Z,2024,06,21,22:00:00,6,101.9,10,NA,NA,NA,NA,NA
2024-06-21T23:00:00Z,2024,06,21,23:00:00,14,101.9,30,NA,NA,NA,NA,NA
2024-06-22T00:00:00Z,2024,06,22,00:00:00,6,101.93,30,NA,NA,NA,NA,NA
2024-06-22T01:00:00Z,2024,06,22,01:00:00,12,101.92,70,NA,NA,NA,NA,NA
2024-06-22T02:00:00Z,2024,06,22,02:00:00,4,101.94,240,NA,NA,NA,NA,NA
2024-06-22T03:00:00Z,2024,06,22,03:00:00,6,101.96,350,NA,NA,NA,NA,NA
2024-06-22T04:00:00Z,2024,06,22,04:00:00,5,101.93,280,NA,69.57,-138.91,0.3197236900949227,1.8875211040209312
2024-06-22T05:00:00Z,2024,06,22,05:00:00,0,101.93,NA,NA,69.57,-138.91,0.2370153410978546,2.1220248256808323
2024-06-22T06:00:00Z,2024,06,22,06:00:00,4,101.91,250,NA,69.57,-138.91,0.1654500272526347,2.355961498795783
2024-06-22T07:00:00Z,2024,06,22,07:00:00,0,101.9,NA,NA,69.57,-138.91,0.10897710006791808,2.591537678707193
2024-06-22T08:00:00Z,2024,06,22,08:00:00,7,101.87,180,NA,69.57,-138.91,0.07086814031994684,2.8295309757211986
2024-06-22T09:00:00Z,2024,06,22,09:00:00,10,101.88,190,NA,69.57,-138.91,0.05344902177453871,3.069423961076153
2024-06-22T10:00:00Z,2024,06,22,10:00:00,10,101.86,200,NA,69.57,-138.91,0.05782217207191883,-2.973369448651948
2024-06-22T11:00:00Z,2024,06,22,11:00:00,9,101.85,190,NA,69.57,-138.91,0.08370801190277179,-2.734102323204399
2024-06-22T12:00:00Z,2024,06,22,12:00:00,9,101.84,200,NA,69.57,-138.91,0.12948680526412126,-2.497075728878404
2024-06-22T13:00:00Z,2024,06,22,13:00:00,8,101.81,200,NA,69.57,-138.91,0.19241898423811477,-2.2623225849700224
2024-06-22T14:00:00Z,2024,06,22,14:00:00,13,101.76,160,NA,69.57,-138.91,0.26893440154843595,-2.0284971875377593
2024-06-22T15:00:00Z,2024,06,22,15:00:00,15,101.73,160,NA,69.57,-138.91,0.3548641030840657,-1.7928323697369677
2024-06-22T16:00:00Z,2024,06,22,16:00:00,15,101.72,160,NA,69.57,-138.91,0.4455334820488064,-1.5512640022219066
2024-06-22T17:00:00Z,2024,06,22,17:00:00,15,101.68,160,NA,69.57,-138.91,0.535703434133179,-1.2987170590304302
2024-06-22T18:00:00Z,2024,06,22,18:00:00,19,101.67,160,NA,69.57,-138.91,0.6194236780379898,-1.0297431084892137
2024-06-22T19:00:00Z,2024,06,22,19:00:00,14,101.64,170,NA,69.57,-138.91,0.6899797934092202,-0.7399235500008278
2024-06-22T20:00:00Z,2024,06,22,20:00:00,15,101.61,170,NA,69.57,-138.91,0.7402874582052272,-0.42836756725085423
2024-06-22T21:00:00Z,2024,06,22,21:00:00,15,101.59,170,NA,69.57,-138.91,0.7641363746098851,-0.10050058203683862
2024-06-22T22:00:00Z,2024,06,22,22:00:00,18,101.58,170,NA,69.57,-138.91,0.7581445619379257,0.2316888709629395
2024-06-22T23:00:00Z,2024,06,22,23:00:00,24,101.57,180,NA,69.57,-138.91,0.7231905856319458,0.5542060752883156
2024-06-23T00:00:00Z,2024,06,23,00:00:00,22,101.54,170,NA,69.57,-138.91,0.6640158759271201,0.8573897444600926
2024-06-23T01:00:00Z,2024,06,23,01:00:00,19,101.51,160,NA,69.57,-138.91,0.5873864892869701,1.1385716917799094
2024-06-23T02:00:00Z,2024,06,23,02:00:00,21,101.48,160,NA,69.57,-138.91,0.5003344874727735,1.40040081826219
2024-06-23T03:00:00Z,2024,06,23,03:00:00,19,101.47,160,NA,69.57,-138.91,0.4092833628416704,1.6479412695842233
2024-06-23T04:00:00Z,2024,06,23,04:00:00,21,101.43,160,NA,69.57,-138.91,0.31988383222556643,1.8866080798564655
2024-06-23T05:00:00Z,2024,06,23,05:00:00,16,101.42,160,NA,69.57,-138.91,0.23713606939254836,2.121125805617574
2024-06-23T06:00:00Z,2024,06,23,06:00:00,20,101.41,160,NA,69.57,-138.91,0.1655153899645234,2.355068754764696
2024-06-23T07:00:00Z,2024,06,23,07:00:00,23,101.37,160,NA,69.57,-138.91,0.10897382637356538,2.59064861786413
2024-06-23T08:00:00Z,2024,06,23,08:00:00,20,101.36,160,NA,69.57,-138.91,0.07078651153654088,2.828647895576113
2024-06-23T09:00:00Z,2024,06,23,09:00:00,15,101.35,170,NA,69.57,-138.91,0.05328386740972903,3.068552746050126
2024-06-23T10:00:00Z,2024,06,23,10:00:00,18,101.35,170,NA,69.57,-138.91,0.05757350807226636,-2.974221682509412
2024-06-23T11:00:00Z,2024,06,23,11:00:00,18,101.37,160,NA,69.57,-138.91,0.08338093196557095,-2.7349300583223326
2024-06-23T12:00:00Z,2024,06,23,12:00:00,21,101.4,160,NA,69.57,-138.91,0.12909059908142292,-2.4978774398756336
2024-06-23T13:00:00Z,2024,06,23,13:00:00,24,101.39,150,NA,69.57,-138.91,0.19196585308683312,-2.2631020733330645
2024-06-23T14:00:00Z,2024,06,23,14:00:00,8,101.43,100,NA,69.57,-138.91,0.2684382946077576,-2.02926389225937
2024-06-23T15:00:00Z,2024,06,23,15:00:00,6,101.44,80,NA,69.57,-138.91,0.3543400691758379,-1.7936011262337177
2024-06-23T16:00:00Z,2024,06,23,16:00:00,22,101.43,100,NA,69.57,-138.91,0.4449976912826963,-1.5520546312584045
2024-06-23T17:00:00Z,2024,06,23,17:00:00,19,101.43,100,NA,69.57,-138.91,0.5351738034731817,-1.2995535860835936
2024-06-23T18:00:00Z,2024,06,23,18:00:00,14,101.45,100,NA,69.57,-138.91,0.6189207745634588,-1.0306514325472445
2024-06-23T19:00:00Z,2024,06,23,19:00:00,13,101.41,120,NA,69.57,-138.91,0.6895271803669653,-0.740925353419216
2024-06-23T20:00:00Z,2024,06,23,20:00:00,5,101.42,70,NA,69.57,-138.91,0.7399098864088455,-0.42946907932781464
2024-06-23T21:00:00Z,2024,06,23,21:00:00,5,101.44,20,NA,69.57,-138.91,0.7638543042082468,-0.10168110701212268
2024-06-23T22:00:00Z,2024,06,23,22:00:00,0,101.43,NA,NA,69.57,-138.91,0.7579665282354543,0.23047528874567716
2024-06-23T23:00:00Z,2024,06,23,23:00:00,8,101.41,160,NA,69.57,-138.91,0.7231091224850806,0.5530101785872632
2024-06-24T00:00:00Z,2024,06,24,00:00:00,9,101.42,340,NA,69.57,-138.91,0.6640106981404431,0.8562450102620114
2024-06-24T01:00:00Z,2024,06,24,01:00:00,5,101.42,340,NA,69.57,-138.91,0.5874314916268806,1.1374884620352541
2024-06-24T02:00:00Z,2024,06,24,02:00:00,5,101.4,30,NA,69.57,-138.91,0.5004032778627349,1.399373424096772
2024-06-24T03:00:00Z,2024,06,24,03:00:00,3,101.39,50,NA,69.57,-138.91,0.4093517418720323,1.6469571962562628
2024-06-24T04:00:00Z,2024,06,24,04:00:00,0,101.39,NA,NA,69.57,-138.91,0.31993030562110325,1.8856541793364985
2024-06-24T05:00:00Z,2024,06,24,05:00:00,4,101.35,340,NA,69.57,-138.91,0.2371417316009995,2.1201916323988392
2024-06-24T06:00:00Z,2024,06,24,06:00:00,3,101.38,10,NA,69.57,-138.91,0.1654639597635245,2.354148212071937
2024-06-24T07:00:00Z,2024,06,24,07:00:00,18,101.38,70,NA,69.57,-138.91,0.10885212580146,2.5897405862578684
2024-06-24T08:00:00Z,2024,06,24,08:00:00,15,101.43,30,NA,69.57,-138.91,0.07058532804846297,2.827755890410935
