"","aru_id","plot","date","distance","class","percent.cover","all.flower.count","canopy_height_top","observer","notes"
"1","ARUQ1","Core",2024-08-04,0,"Salix Arctica",34,27,1,"AB",NA
"2","ARUQ1","Core",2024-08-04,0,"xxxmoss",22,2,1,"AB",NA
"3","ARUQ1","Core",2024-08-04,0,"Oxytropis",19,10,1,"AB",NA
"4","ARUQ1","Core",2024-08-04,0,"Pedicularis spp",3,3,1,"AB",NA
"5","ARUQ1","Core",2024-08-04,0,"Graminoid/horsetails",10,2,82,"AB",NA
"6","ARUQ1","Core",2024-08-04,0,"Stellaria",2,25,1,"AB",NA
"7","ARUQ1","Core",2024-08-04,0,"xxxlitter",10,2,1,"AB",NA
"8","ARUQ1","S",2024-08-04,5,"Salix Arctica",45,25,1,"AB",NA
"9","ARUQ1","S",2024-08-04,5,"xxxmoss",24,2,1,"AB",NA
"10","ARUQ1","S",2024-08-04,5,"Oxytropis",6,14,1,"AB",NA
"11","ARUQ1","S",2024-08-04,5,"Graminoid/horsetails",2,2,1,"AB",NA
"12","ARUQ1","S",2024-08-04,5,"Pedicularis Capitata",4,2,1,"AB",NA
"13","ARUQ1","S",2024-08-04,5,"Stellaria",1,21,1,"AB",NA
"14","ARUQ1","S",2024-08-04,5,"Castilleja",5,3,15,"AB",NA
"15","ARUQ1","S",2024-08-04,5,"Yarrow",3,2,1,"AB",NA
"16","ARUQ1","S",2024-08-04,5,"otherforb",2,2,1,"AB",NA
"17","ARUQ1","S",2024-08-04,5,"xxxlitter",9,2,1,"AB",NA
"18","ARUQ1","E",2024-08-04,5,"Salix Arctica",57,30,1,"AB",NA
"19","ARUQ1","E",2024-08-04,5,"Oxytropis",11,2,1,"AB",NA
"20","ARUQ1","E",2024-08-04,5,"Graminoid/horsetails",6,2,74,"AB",NA
"21","ARUQ1","E",2024-08-04,5,"Stellaria",1,3,1,"AB",NA
"22","ARUQ1","E",2024-08-04,5,"Yarrow",1,2,1,"AB",NA
"23","ARUQ1","E",2024-08-04,5,"Lichen",1,2,1,"AB",NA
"24","ARUQ1","E",2024-08-04,5,"xxxmoss",6,2,1,"AB",NA
"25","ARUQ1","E",2024-08-04,5,"xxxlitter",17,2,1,"AB",NA
"26","ARUQ1","N",2024-08-04,5,"Salix Arctica",15,2,1,"AB",NA
"27","ARUQ1","N",2024-08-04,5,"Pedicularis Vertisilata",7,25,1,"AB",NA
"28","ARUQ1","N",2024-08-04,5,"Pedicularis spp",3,2,1,"AB",NA
"29","ARUQ1","N",2024-08-04,5,"Graminoid/horsetails",15,2,80,"AB",NA
"30","ARUQ1","N",2024-08-04,5,"Yarrow",8,2,1,"AB",NA
"31","ARUQ1","N",2024-08-04,5,"xxxmoss",4,2,1,"AB",NA
"32","ARUQ1","N",2024-08-04,5,"Stellaria",1,2,1,"AB",NA
"33","ARUQ1","N",2024-08-04,5,"otherforb",2,2,1,"AB","Artemisia"
"34","ARUQ1","N",2024-08-04,5,"otherforb",1,32,1,"AB","White lily"
"35","ARUQ1","N",2024-08-04,5,"xxxlitter",42,2,1,"AB",NA
"36","ARUQ1","W",2024-08-04,5,"Graminoid/horsetails",4.2,2,62,"AB",NA
"37","ARUQ1","W",2024-08-04,5,"Monkshood",3.5,3,1,"AB",NA
"38","ARUQ1","W",2024-08-04,5,"Salix Arctica",45.2,2,1,"AB",NA
"39","ARUQ1","W",2024-08-04,5,"Oxytropis",11.8,22,1,"AB",NA
"40","ARUQ1","W",2024-08-04,5,"Yarrow",5.2,2,1,"AB",NA
"41","ARUQ1","W",2024-08-04,5,"xxxmoss",4.3,2,1,"AB",NA
"42","ARUQ1","W",2024-08-04,5,"otherforb",1,2,1,"AB","Artemisia"
"43","ARUQ1","W",2024-08-04,5,"xxxlitter",23.4,2,1,"AB",NA
"44","ARUQ1","W",2024-08-04,5,"Stellaria",1.4,22,1,"AB",NA
"45","ARUQ3","Core",2024-08-04,0,"Salix Arctica",34,14,1,"AB","15:39"
"46","ARUQ3","Core",2024-08-04,0,"Lupine",27,27,1,"AB",NA
"47","ARUQ3","Core",2024-08-04,0,"Pedicularis Capitata",15,6,1,"AB",NA
"48","ARUQ3","Core",2024-08-04,0,"Lichen",1,2,1,"AB","Cet cuc"
"49","ARUQ3","Core",2024-08-04,0,"xxxlitter",3,2,1,"AB",NA
"50","ARUQ3","Core",2024-08-04,0,"Senecio",2,3,1,"AB","Other aster"
"51","ARUQ3","Core",2024-08-04,0,"Dryas",27,25,1,"AB",NA
