date,lat,lon,sunrise,sunset,week,day_length_hours
2024-06-22,69.57,-138.91,NA,NA,2024-06-16,24
2024-06-23,69.57,-138.91,NA,NA,2024-06-23,24
2024-06-24,69.57,-138.91,NA,NA,2024-06-23,24
2024-06-25,69.57,-138.91,NA,NA,2024-06-23,24
2024-06-26,69.57,-138.91,NA,NA,2024-06-23,24
2024-06-27,69.57,-138.91,NA,NA,2024-06-23,24
2024-06-28,69.57,-138.91,NA,NA,2024-06-23,24
2024-06-29,69.57,-138.91,NA,NA,2024-06-23,24
2024-06-30,69.57,-138.91,NA,NA,2024-06-30,24
2024-07-01,69.57,-138.91,NA,NA,2024-06-30,24
2024-07-02,69.57,-138.91,NA,NA,2024-06-30,24
2024-07-03,69.57,-138.91,NA,NA,2024-06-30,24
2024-07-04,69.57,-138.91,NA,NA,2024-06-30,24
2024-07-05,69.57,-138.91,NA,NA,2024-06-30,24
2024-07-06,69.57,-138.91,NA,NA,2024-06-30,24
2024-07-07,69.57,-138.91,NA,NA,2024-07-07,24
2024-07-08,69.57,-138.91,NA,NA,2024-07-07,24
2024-07-09,69.57,-138.91,NA,NA,2024-07-07,24
2024-07-10,69.57,-138.91,NA,NA,2024-07-07,24
2024-07-11,69.57,-138.91,NA,NA,2024-07-07,24
2024-07-12,69.57,-138.91,NA,NA,2024-07-07,24
2024-07-13,69.57,-138.91,NA,NA,2024-07-07,24
2024-07-14,69.57,-138.91,NA,NA,2024-07-14,24
2024-07-15,69.57,-138.91,NA,NA,2024-07-14,24
2024-07-16,69.57,-138.91,NA,NA,2024-07-14,24
2024-07-17,69.57,-138.91,NA,NA,2024-07-14,24
2024-07-18,69.57,-138.91,NA,NA,2024-07-14,24
2024-07-19,69.57,-138.91,NA,NA,2024-07-14,24
2024-07-20,69.57,-138.91,NA,NA,2024-07-14,24
2024-07-21,69.57,-138.91,NA,NA,2024-07-21,24
2024-07-22,69.57,-138.91,NA,NA,2024-07-21,24
2024-07-23,69.57,-138.91,NA,NA,2024-07-21,24
2024-07-24,69.57,-138.91,NA,NA,2024-07-21,24
2024-07-25,69.57,-138.91,2024-07-25T09:47:40Z,2024-07-26T08:58:56Z,2024-07-21,23.18777777777778
2024-07-26,69.57,-138.91,2024-07-26T10:06:08Z,2024-07-27T08:40:30Z,2024-07-21,22.572777777777777
2024-07-27,69.57,-138.91,2024-07-27T10:19:02Z,2024-07-28T08:27:35Z,2024-07-21,22.1425
2024-07-28,69.57,-138.91,2024-07-28T10:29:41Z,2024-07-29T08:16:55Z,2024-07-28,21.787222222222223
2024-07-29,69.57,-138.91,2024-07-29T10:39:02Z,2024-07-30T08:07:31Z,2024-07-28,21.474722222222223
2024-07-30,69.57,-138.91,2024-07-30T10:47:31Z,2024-07-31T07:58:58Z,2024-07-28,21.190833333333334
2024-07-31,69.57,-138.91,2024-07-31T10:55:22Z,2024-08-01T07:51:02Z,2024-07-28,20.927777777777777
2024-08-01,69.57,-138.91,2024-08-01T11:02:45Z,2024-08-02T07:43:34Z,2024-07-28,20.68027777777778
2024-08-02,69.57,-138.91,2024-08-02T11:09:44Z,2024-08-03T07:36:28Z,2024-07-28,20.445555555555554
2024-08-03,69.57,-138.91,2024-08-03T11:16:24Z,2024-08-04T07:29:39Z,2024-07-28,20.220833333333335
2024-08-04,69.57,-138.91,2024-08-04T11:22:48Z,2024-08-05T07:23:06Z,2024-08-04,20.005
2024-08-05,69.57,-138.91,2024-08-05T11:28:58Z,2024-08-06T07:16:45Z,2024-08-04,19.796388888888888
2024-08-06,69.57,-138.91,2024-08-06T11:34:57Z,2024-08-07T07:10:34Z,2024-08-04,19.593611111111112
2024-08-07,69.57,-138.91,2024-08-07T11:40:45Z,2024-08-08T07:04:33Z,2024-08-04,19.39666666666667
2024-08-08,69.57,-138.91,2024-08-08T11:46:24Z,2024-08-09T06:58:40Z,2024-08-04,19.204444444444444
2024-08-09,69.57,-138.91,2024-08-09T11:51:54Z,2024-08-10T06:52:54Z,2024-08-04,19.016666666666666
2024-08-10,69.57,-138.91,2024-08-10T11:57:17Z,2024-08-11T06:47:14Z,2024-08-04,18.8325
2024-08-11,69.57,-138.91,2024-08-11T12:02:34Z,2024-08-12T06:41:39Z,2024-08-11,18.65138888888889
2024-08-12,69.57,-138.91,2024-08-12T12:07:44Z,2024-08-13T06:36:10Z,2024-08-11,18.47388888888889
2024-08-13,69.57,-138.91,2024-08-13T12:12:49Z,2024-08-14T06:30:45Z,2024-08-11,18.29888888888889
